Pmax (MW),Pmin (MW),Type,Cost ($/MWh),EF,CC,Zone
0.7,0.2,Hydro,50,0,0.5,PN_PA
0.7,0.2,Hydro,50,0,0.5,PN_PA
0.7,0.2,Hydro,50,0,0.5,PN_PA
0.7,0.2,Hydro,50,0,0.5,PN_PA
2.9,0.3,Hydro,50,0,0.5,DOM_VA
5,2,NGCT,26.3,0.59,0.98,JC_NJ
10.8,2,NGCT,26.3,0.59,0.98,JC_NJ
4.5,1,NGCT,26.3,0.59,0.98,JC_NJ
0.5, ,SolarPV,0,0,0.35,JC_NJ
10.6,5,Bio,20,0.99,0.43,AEP_OH
24,8,Bio,20,0.99,0.43,AEP_OH
31,10,Bio,20,0.99,0.43,AEP_OH
27.2,7,NGCT,26.3,0.59,0.98,AEP_OH
50,18,Bio,20,0.99,0.43,AEP_TN
1,0.2,Hydro,50,0,0.5,DOM_NC
0.5,0.1,Hydro,50,0,0.5,DOM_NC
2.6,0.5,Hydro,50,0,0.5,PL_PA
2.6,0.5,Hydro,50,0,0.5,PL_PA
1.5,0.7,NGCT,26.3,0.59,0.98,ME_PA
143.4,86,NGCC,18.75,0.4,0.98,JC_NJ
143.4,86,NGCC,18.75,0.4,0.98,JC_NJ
143.4,26,NGCC,18.75,0.4,0.98,JC_NJ
47.3,28,Coal,23.57,1.01,0.95,PL_PA
12.5,2,NG,22.525,0.495,0.98,AEP_IN
12.5,2,NG,22.525,0.495,0.98,AEP_IN
32,3,NG,22.525,0.495,0.98,AEP_IN
40,4,NG,22.525,0.495,0.98,AEP_IN
55,2,NG,22.525,0.495,0.98,AEP_IN
10,3,NG,22.525,0.495,0.98,ATSI_OH
10,3,NG,22.525,0.495,0.98,ATSI_OH
15,3,NG,22.525,0.495,0.98,ATSI_OH
10,3,NG,22.525,0.495,0.98,ATSI_OH
22,4,NG,22.525,0.495,0.98,ATSI_OH
17.5,4,MSW,15,1.49,0.43,AE_NJ
17.5,4,MSW,15,1.49,0.43,AE_NJ
20,5,NG,22.525,0.495,0.98,AEP_IN
0.4,0.1,Hydro,50,0,0.5,PL_PA
0.4,0.1,Hydro,50,0,0.5,PL_PA
0.4,0.1,Hydro,50,0,0.5,PL_PA
285,46,Coal,23.57,1.01,0.95,JC_NJ
57.6,15,Coal,23.57,1.01,0.95,PN_PA
60.2,10,MSW,15,1.49,0.43,BC_MD
4.3,2,MSW,15,1.49,0.43,BC_MD
101,55,NGCC,18.75,0.4,0.98,DOM_VA
101,55,NGCC,18.75,0.4,0.98,DOM_VA
101,55,NGCC,18.75,0.4,0.98,DOM_VA
96,55,Other,20.1096,0.30925,0.7515,DOM_VA
34.9,5,MSW,15,1.49,0.43,PS_NJ
34.9,5,MSW,15,1.49,0.43,PS_NJ
0.3,0,Hydro,50,0,0.5,AEP_MI
0.4,0,Hydro,50,0,0.5,AEP_MI
0.4,0,Hydro,50,0,0.5,AEP_MI
0.2,0,Hydro,50,0,0.5,AEP_MI
229,72,Coal,23.57,1.01,0.95,DPL_MD
1.9,0.5,Bio,20,0.99,0.43,DPL_MD
1.9,0.5,Bio,20,0.99,0.43,DPL_MD
1,0.4,Oil,40,0.82,0.98,DPL_MD
1,0.4,Oil,40,0.82,0.98,DPL_MD
68.9,20,Coal,23.57,1.01,0.95,AP_WV
90,20,MSW,15,1.49,0.43,ATSI_PA
95.2,72,NGCC,18.75,0.4,0.98,AE_NJ
77.7,32,NGCC,18.75,0.4,0.98,AE_NJ
71.1,20,Bio,20,0.99,0.43,PN_VA
71.1,20,Bio,20,0.99,0.43,DOM_VA
2,0.1,Hydro,50,0,0.5,AEP_VA
0.8,0.1,Hydro,50,0,0.5,AEP_VA
0.2,0.1,Hydro,50,0,0.5,AEP_VA
2.4,0.1,Hydro,50,0,0.5,AEP_VA
22,12,NGCC,18.75,0.4,0.98,JC_NJ
6.8,1.2,NGCC,18.75,0.4,0.98,JC_NJ
31,0,Coal,23.57,1.01,0.95,CE_IL
31,0,Coal,23.57,1.01,0.95,CE_IL
31,0,Coal,23.57,1.01,0.95,CE_IL
31,0,Coal,23.57,1.01,0.95,CE_IL
31,0,Coal,23.57,1.01,0.95,CE_IL
75,0,Coal,23.57,1.01,0.95,CE_IL
105,32,Coal,23.57,1.01,0.95,CE_IL
64.8,3,NGCT,26.3,0.59,0.98,CE_IL
72.5,12,NGCT,26.3,0.59,0.98,AEP_PA
33,12,NGCT,26.3,0.59,0.98,AEP_PA
33,12,NGCT,26.3,0.59,0.98,AEP_PA
33,12,NGCT,26.3,0.59,0.98,AEP_PA
8,2.5,Hydro,50,0,0.5,CE_IL
8,2.5,Hydro,50,0,0.5,CE_IL
95.2,47.6,NGCC,18.75,0.4,0.98,JC_NJ
95.2,47.6,NGCC,18.75,0.4,0.98,JC_NJ
95.2,47.6,NGCC,18.75,0.4,0.98,JC_NJ
95.2,47.6,NGCC,18.75,0.4,0.98,JC_NJ
95.2,47.6,NGCC,18.75,0.4,0.98,JC_NJ
212.5,90,NGCC,18.75,0.4,0.98,JC_NJ
95.2,25,NGCC,18.75,0.4,0.98,JC_NJ
95.2,25,NGCC,18.75,0.4,0.98,JC_NJ
95.2,25,NGCC,18.75,0.4,0.98,JC_NJ
0.4,0.2,Hydro,50,0,0.5,AEP_WV
0.4,0.2,Hydro,50,0,0.5,AEP_WV
0.4,0.2,Hydro,50,0,0.5,AEP_WV
0.4,0.2,Hydro,50,0,0.5,AEP_WV
0.4,0.2,Hydro,50,0,0.5,AEP_WV
0.4,0.2,Hydro,50,0,0.5,AEP_WV
1.9,0.7,Hydro,50,0,0.5,AEP_WV
1.9,0.7,Hydro,50,0,0.5,AEP_WV
25.5,2,Hydro,50,0,0.5,AEP_WV
25.5,2,Hydro,50,0,0.5,AEP_WV
25.5,2,Hydro,50,0,0.5,AEP_WV
25.5,2,Hydro,50,0,0.5,AEP_WV
18.7,1,Hydro,50,0,0.5,AP_WV
18.7,1,Hydro,50,0,0.5,AP_WV
6,2.8,NGCT,26.3,0.59,0.98,JC_NJ
2,0.3,Hydro,50,0,0.5,DOM_VA
0.5,0.1,Hydro,50,0,0.5,DOM_VA
0.8,0.2,Hydro,50,0,0.5,DOM_VA
0.4,0.1,Hydro,50,0,0.5,DOM_VA
0.4,0.1,Hydro,50,0,0.5,DOM_VA
72,14,Bio,20,0.99,0.43,DOM_NC
42,14,Bio,20,0.99,0.43,DOM_NC
36.5,11.7,MSW,15,1.49,0.43,BC_PA
28.3,2,Bio,20,0.99,0.43,DOM_NC
13,4.5,NGCT,26.3,0.59,0.98,DOM_VA
23.2,10,Landfill_NG,15,0.39,0.43,PN_PA
4.6,2,Landfill_NG,15,0.39,0.43,PN_PA
4.6,2,Landfill_NG,15,0.39,0.43,PN_PA
60.5,25,NGCT,26.3,0.59,0.98,PN_PA
0.6,0.3,Hydro,50,0,0.5,PS_NJ
0.6,0.3,Hydro,50,0,0.5,PS_NJ
0.6,0.3,Hydro,50,0,0.5,PS_NJ
0.6,0.3,Hydro,50,0,0.5,PS_NJ
2,1,NGCT,26.3,0.59,0.98,AEP_IN
0.5,0.5,NGCT,26.3,0.59,0.98,CE_IL
0.5,0.5,NGCT,26.3,0.59,0.98,CE_IL
0.3,0.3,NGCT,26.3,0.59,0.98,CE_IL
0.5,0.5,NGCT,26.3,0.59,0.98,CE_IL
6.3,2,NGCT,26.3,0.59,0.98,AE_PA
6.3,2,NGCT,26.3,0.59,0.98,AE_PA
55,27,NGCC,18.75,0.4,0.98,PS_NJ
55,27,NGCC,18.75,0.4,0.98,PS_NJ
42,10,NGCC,18.75,0.4,0.98,PS_NJ
6,2,NGCT,26.3,0.59,0.98,BC_PA
5.1,1.2,NGCT,26.3,0.59,0.98,BC_PA
7.5,3.5,NGCT,26.3,0.59,0.98,BC_PA
45.9,9,Coal,23.57,1.01,0.95,BC_PA
39.1,8.2,Bio,20,0.99,0.43,BC_PA
17.3,6.5,NGCC,18.75,0.4,0.98,ATSI_PA
17.3,6.5,NGCC,18.75,0.4,0.98,ATSI_PA
17.3,6.5,NGCC,18.75,0.4,0.98,ATSI_PA
17.3,6.5,NGCC,18.75,0.4,0.98,ATSI_PA
3.5,2.3,NGCT,26.3,0.59,0.98,PS_NJ
3.5,2.3,NGCT,26.3,0.59,0.98,PS_NJ
3.5,2.3,NGCT,26.3,0.59,0.98,PS_NJ
12.5,1.5,NGCT,26.3,0.59,0.98,DEOK_OH
53.6,30,NGCT,26.3,0.59,0.98,PL_PA
2.6,0.2,NGCT,26.3,0.59,0.98,PL_PA
64,20,NGCT,26.3,0.59,0.98,PL_PA
0.6,0.2,Hydro,50,0,0.5,DOM_NC
0.5,0.2,Hydro,50,0,0.5,DOM_NC
0.5,0.2,Hydro,50,0,0.5,DOM_NC
0.2,0.2,Hydro,50,0,0.5,AEP_VA
0.2,0.2,Hydro,50,0,0.5,AEP_VA
7.5,3.5,Bio,20,0.99,0.43,AEP_VA
6,2,Coal,23.57,1.01,0.95,AEP_TN
6,2,Coal,23.57,1.01,0.95,AEP_TN
6,2,Coal,23.57,1.01,0.95,AEP_TN
7,2,Coal,23.57,1.01,0.95,AEP_TN
10,2,Coal,23.57,1.01,0.95,AEP_TN
7.5,2,Coal,23.57,1.01,0.95,AEP_TN
10.4,1.5,NGCT,26.3,0.59,0.98,AEP_TN
10.4,1.5,Coal,23.57,1.01,0.95,AEP_TN
10.4,1.5,NGCT,26.3,0.59,0.98,AEP_TN
10.4,1.5,NGCT,26.3,0.59,0.98,AEP_TN
10.4,1.5,Coal,23.57,1.01,0.95,AEP_TN
15,2,NGCT,26.3,0.59,0.98,AEP_TN
15.4,1.5,Coal,23.57,1.01,0.95,AEP_TN
16.8,2,NGCT,26.3,0.59,0.98,AEP_TN
18,2,Coal,23.57,1.01,0.95,AEP_TN
16.6,1.5,Coal,23.57,1.01,0.95,AEP_TN
6,2,Coal,23.57,1.01,0.95,AEP_TN
6,2,Coal,23.57,1.01,0.95,AEP_TN
6,2,Coal,23.57,1.01,0.95,AEP_TN
7.5,0.5,NGCT,26.3,0.59,0.98,AEP_WV
26,5,NGCT,26.3,0.59,0.98,AEP_WV
82,10,NGCT,26.3,0.59,0.98,AEP_WV
54,5,Other,20.1096,0.30925,0.7515,DOM_NC
86,52,Oil,40,0.82,0.98,DOM_NC
40,24,Oil,40,0.82,0.98,DOM_NC
54,44,Oil,40,0.82,0.98,DOM_NC
90,82,NGCC,18.75,0.4,0.98,PE_NJ
90,82,NGCC,18.75,0.4,0.98,PE_NJ
45,45,NGCC,18.75,0.4,0.98,PE_NJ
26.8,24,NGCC,18.75,0.4,0.98,PE_NJ
3,1,Landfill_NG,15,0.39,0.43,CE_IL
3,1,Landfill_NG,15,0.39,0.43,CE_IL
3,1,Landfill_NG,15,0.39,0.43,PS_IL
3,1,Landfill_NG,15,0.39,0.43,PS_IL
3,1,Landfill_NG,15,0.39,0.43,PS_IL
36,24,Coal,23.57,1.01,0.95,PL_PA
22,6,NG,22.525,0.495,0.98,CE_IL
11.2,0,NG,22.525,0.495,0.98,CE_IL
6.5,2,NG,22.525,0.495,0.98,CE_IL
30.5,2,NGCT,26.3,0.59,0.98,PE_NJ
15,2,NG,22.525,0.495,0.98,PE_NJ
15,2,NG,22.525,0.495,0.98,PE_NJ
18,2,Coal,23.57,1.01,0.95,PE_NJ
67.8,1,MSW,15,1.49,0.43,BC_MD
62,10,MSW,15,1.49,0.43,PS_VA
62,10,MSW,15,1.49,0.43,PS_VA
0.8,0.5,Landfill_NG,15,0.39,0.43,CE_IL
0.8,0.5,Landfill_NG,15,0.39,0.43,CE_IL
0.8,0.5,Landfill_NG,15,0.39,0.43,CE_IL
21,2,NG,22.525,0.495,0.98,DUQ_PA
10,1,NG,22.525,0.495,0.98,DUQ_PA
25,6,NG,22.525,0.495,0.98,DUQ_PA
25,6,NG,22.525,0.495,0.98,DUQ_PA
2.5,0.3,NG,22.525,0.495,0.98,DUQ_PA
161,50,NG,22.525,0.495,0.98,AEP_IN
94,35,Coal,23.57,1.01,0.95,PL_PA
45.9,30,NGCC,18.75,0.4,0.98,JC_NJ
45.9,30,NGCC,18.75,0.4,0.98,JC_NJ
21.6,5,NGCC,18.75,0.4,0.98,JC_NJ
21.6,5,NGCC,18.75,0.4,0.98,JC_NJ
35.7,1,MSW,15,1.49,0.43,ME_PA
14,4,MSW,15,1.49,0.43,PE_NJ
134.1,65,Coal,23.57,1.01,0.95,DPL_PA
4.6,2,Hydro,50,0,0.5,AP_PA
4.6,2,Hydro,50,0,0.5,AP_PA
4.6,2,Hydro,50,0,0.5,AP_PA
4.6,2,Hydro,50,0,0.5,AP_PA
6.8,1,Hydro,50,0,0.5,AP_PA
6.8,1,Hydro,50,0,0.5,AP_PA
8.9,1,Hydro,50,0,0.5,AP_PA
8.9,1,Hydro,50,0,0.5,AP_PA
0.8,0.1,NGCT,26.3,0.59,0.98,PS_IL
0.8,0.1,NGCT,26.3,0.59,0.98,PS_IL
45,18,MSW,15,1.49,0.43,JC_NJ
6,0,Coal,23.57,1.01,0.95,ATSI_OH
94.7,0,Coal,23.57,1.01,0.95,AP_PA
122,73.3,NGCC,18.75,0.4,0.98,DOM_VA
122,73.3,NGCC,18.75,0.4,0.98,DOM_VA
132,28.7,NGCC,18.75,0.4,0.98,DOM_VA
122,73.3,NGCC,18.75,0.4,0.98,DOM_VA
122,73.3,NGCC,18.75,0.4,0.98,DOM_VA
132,28.7,NGCC,18.75,0.4,0.98,DOM_VA
187,74.5,NGCT,26.3,0.59,0.98,DOM_VA
187,90,NGCT,26.3,0.59,0.98,DOM_VA
187,90,NGCT,26.3,0.59,0.98,DOM_VA
3.7,0.1,NGCT,26.3,0.59,0.98,PS_IL
3.7,0.1,NGCT,26.3,0.59,0.98,PS_IL
6.1,1,Hydro,50,0,0.5,AP_PA
6.1,1,Hydro,50,0,0.5,AP_PA
4.1,0.3,Hydro,50,0,0.5,PS_NJ
4.1,0.3,Hydro,50,0,0.5,PS_NJ
4.1,0.3,Hydro,50,0,0.5,PS_NJ
6,2,NGCT,26.3,0.59,0.98,AEP_VA
6,2,NGCT,26.3,0.59,0.98,AEP_VA
6,2,NGCT,26.3,0.59,0.98,AEP_VA
6,2,NGCT,26.3,0.59,0.98,AEP_VA
6,2,NGCT,26.3,0.59,0.98,AEP_VA
6,2,NGCT,26.3,0.59,0.98,AEP_VA
9.2,2,NGCT,26.3,0.59,0.98,AEP_VA
12.5,5,NG,22.525,0.495,0.98,AEP_IN
12.5,5,NG,22.525,0.495,0.98,AEP_IN
18.8,5,NG,22.525,0.495,0.98,AEP_IN
10,5,NG,22.525,0.495,0.98,AEP_IN
30,5,NG,22.525,0.495,0.98,AEP_IN
7.2,0.5,NGCT,26.3,0.59,0.98,ME_VA
1.1,0.1,NGCT,26.3,0.59,0.98,ME_VA
0.3,0.1,NGCT,26.3,0.59,0.98,ME_VA
0.4,0.1,NGCT,26.3,0.59,0.98,ME_VA
1.2,0.1,NGCT,26.3,0.59,0.98,ME_VA
1.2,1,NGCT,26.3,0.59,0.98,ME_VA
38.4,20,NGCT,26.3,0.59,0.98,PL_PA
1.5,0.8,NGCT,26.3,0.59,0.98,PL_PA
1.3,0.8,NGCT,26.3,0.59,0.98,PL_PA
1.3,0.8,NGCT,26.3,0.59,0.98,PL_PA
32.3,15,NGCT,26.3,0.59,0.98,PL_PA
2.5,1.8,Oil,40,0.82,0.98,PL_PA
1.7,1,NGCT,26.3,0.59,0.98,PL_PA
1.2,0.8,Oil,40,0.82,0.98,PL_PA
0.7,0.7,NGCT,26.3,0.59,0.98,PL_PA
1,0.8,NGCT,26.3,0.59,0.98,PL_PA
1.3,0.8,NGCT,26.3,0.59,0.98,PL_PA
1.3,0.8,NGCT,26.3,0.59,0.98,PL_PA
1,0.8,Oil,40,0.82,0.98,PL_PA
2,0.8,Oil,40,0.82,0.98,PL_PA
2,0.8,Oil,40,0.82,0.98,PL_PA
46.4,25,NGCT,26.3,0.59,0.98,DOM_VA
36.1,5,Bio,20,0.99,0.43,DOM_VA
7.5,1.1,Hydro,50,0,0.5,AP_PA
7.5,1.1,Hydro,50,0,0.5,AP_PA
92,45,NGCT,26.3,0.59,0.98,PEP_DE
92,45,NGCT,26.3,0.59,0.98,PEP_DE
27.5,15,NG,22.525,0.495,0.98,PEP_DE
27.5,15,NG,22.525,0.495,0.98,PEP_DE
75,17,NG,22.525,0.495,0.98,PEP_DE
10,3,NG,22.525,0.495,0.98,PEP_DE
7.8,0.5,NGCT,26.3,0.59,0.98,PS_IL
7.8,0.5,NGCT,26.3,0.59,0.98,PS_IL
7.8,0.5,NGCT,26.3,0.59,0.98,PS_IL
6.3,3,NGCT,26.3,0.59,0.98,PS_IL
6.3,3,NGCT,26.3,0.59,0.98,PS_IL
3.7,1,NGCT,26.3,0.59,0.98,PS_IL
3.7,1,NGCT,26.3,0.59,0.98,PS_IL
5.5,1,NGCT,26.3,0.59,0.98,PS_IL
5.5,1,NGCT,26.3,0.59,0.98,PS_IL
5.5,1,NGCT,26.3,0.59,0.98,PS_IL
3,1,NG,22.525,0.495,0.98,ATSI_OH
7.5,1,NG,22.525,0.495,0.98,ATSI_OH
10,1,NG,22.525,0.495,0.98,ATSI_OH
1.8,1.6,NGCT,26.3,0.59,0.98,PE_PA
2,0.5,NGCT,26.3,0.59,0.98,ATSI_OH
2,0.5,NGCT,26.3,0.59,0.98,ATSI_OH
4.7,2.5,NGCC,18.75,0.4,0.98,CE_PA
1.2,0.3,NGCC,18.75,0.4,0.98,CE_PA
2.5,0.5,NGCT,26.3,0.59,0.98,AEP_OH
0.7,0.4,Oil,40,0.82,0.98,CE_IL
2,0.8,Oil,40,0.82,0.98,CE_IL
2,0.8,Oil,40,0.82,0.98,CE_IL
0.7,0.1,NGCT,26.3,0.59,0.98,CE_IL
0.7,0.1,NGCT,26.3,0.59,0.98,CE_IL
0.7,0.1,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.1,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,CE_IL
0.4,0.1,Hydro,50,0,0.5,CE_IL
0.4,0.1,Hydro,50,0,0.5,CE_IL
0.4,0.1,Hydro,50,0,0.5,CE_IL
1,0.7,NGCT,26.3,0.59,0.98,CE_IL
1,0.7,NGCT,26.3,0.59,0.98,CE_IL
1,0.7,NGCT,26.3,0.59,0.98,CE_IL
1,0.7,NGCT,26.3,0.59,0.98,CE_IL
1,0.7,NGCT,26.3,0.59,0.98,CE_IL
1,0.7,NGCT,26.3,0.59,0.98,CE_IL
4.8,0.5,NGCT,26.3,0.59,0.98,PS_IL
4.8,0.5,NGCT,26.3,0.59,0.98,PS_IL
22.5,5,NGCT,26.3,0.59,0.98,PS_IL
22.5,5,NGCT,26.3,0.59,0.98,PS_IL
0.3,0.2,Bio,20,0.99,0.43,AE_NJ
0.3,0.2,Bio,20,0.99,0.43,AE_NJ
0.3,0.2,Bio,20,0.99,0.43,AE_NJ
1.5,0.7,Oil,40,0.82,0.98,AE_NJ
1.5,0.7,Oil,40,0.82,0.98,AE_NJ
1.5,0.7,Oil,40,0.82,0.98,AE_NJ
1.5,0.7,Oil,40,0.82,0.98,AE_NJ
0.2, ,SolarPV,0,0,0.35,AE_NJ
32.1,14,MSW,15,1.49,0.43,PL_PA
99.2,55,Coal,23.57,1.01,0.95,PL_PA
54,12,Bio,20,0.99,0.43,AP_PA
77.9,62.1,NGCC,18.75,0.4,0.98,AE_NJ
77.9,62.1,NGCC,18.75,0.4,0.98,AE_NJ
81,79.7,NGCC,18.75,0.4,0.98,AE_NJ
1.5,0.2,Hydro,50,0,0.5,AEP_VA
1.5,0.2,Hydro,50,0,0.5,AEP_VA
1.5,0.2,Hydro,50,0,0.5,AEP_VA
0.8,0.5,Landfill_NG,15,0.39,0.43,CE_IL
0.8,0.5,Landfill_NG,15,0.39,0.43,CE_IL
1.6,0.8,Landfill_NG,15,0.39,0.43,CE_IL
1.6,0.8,Landfill_NG,15,0.39,0.43,CE_IL
0.8,0.3,Landfill_NG,15,0.39,0.43,PS_VA
0.8,0.3,Landfill_NG,15,0.39,0.43,PS_VA
0.8,0.3,Landfill_NG,15,0.39,0.43,PS_VA
0.8,0.3,Landfill_NG,15,0.39,0.43,PS_VA
53.3,0,MSW,15,1.49,0.43,PL_PA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
0.3,0.1,Oil,40,0.82,0.98,DOM_VA
57.6,6,NGCT,26.3,0.59,0.98,PE_PA
135,52,NGCT,26.3,0.59,0.98,PE_PA
0.8,0.4,NGCT,26.3,0.59,0.98,PS_IL
0.8,0.4,NGCT,26.3,0.59,0.98,PS_IL
0.8,0.4,NGCT,26.3,0.59,0.98,PS_IL
4.2,0.1,NGCT,26.3,0.59,0.98,CE_IL
5,1,NGCT,26.3,0.59,0.98,BC_MD
2.5,0.5,NGCT,26.3,0.59,0.98,BC_MD
10,1,NGCT,26.3,0.59,0.98,BC_MD
9.5,5.8,NGCT,26.3,0.59,0.98,JC_NJ
1,0.2,NGCT,26.3,0.59,0.98,JC_NJ
97.2,60,NGCC,18.75,0.4,0.98,DOM_VA
97.2,60,NGCC,18.75,0.4,0.98,DOM_VA
53,33,NGCC,18.75,0.4,0.98,DOM_VA
53,33,NGCC,18.75,0.4,0.98,DOM_VA
4,0.1,Bio,20,0.99,0.43,EKPC_KY
1,0.1,Bio,20,0.99,0.43,EKPC_KY
3.5,1,NGCT,26.3,0.59,0.98,PS_IL
0.8,0.4,NGCT,26.3,0.59,0.98,PS_IL
0.8,0.4,NGCT,26.3,0.59,0.98,PS_IL
0.9,0.3,Oil,40,0.82,0.98,PS_IL
0.9,0.3,Oil,40,0.82,0.98,PS_IL
0.8,0.3,Oil,40,0.82,0.98,PS_IL
4,0.5,NGCT,26.3,0.59,0.98,DOM_NC
0.3,0.3,Oil,40,0.82,0.98,DOM_NC
1.1,1,Oil,40,0.82,0.98,DOM_NC
1.2,1,Oil,40,0.82,0.98,DOM_NC
1,1,Oil,40,0.82,0.98,DOM_NC
1.2,1,Oil,40,0.82,0.98,DOM_NC
0.1,0.1,Oil,40,0.82,0.98,DOM_NC
0.3,0.3,Oil,40,0.82,0.98,DOM_NC
4.7,1.5,NGCT,26.3,0.59,0.98,CE_IL
0.8,0.4,NGCT,26.3,0.59,0.98,AEP_IN
0.8,0.4,NGCT,26.3,0.59,0.98,AEP_IN
0.8,0.4,NGCT,26.3,0.59,0.98,AEP_IN
0.8,0.4,NGCT,26.3,0.59,0.98,AEP_IN
0.8,0.4,Landfill_NG,15,0.39,0.43,AEP_IN
0.8,0.4,Landfill_NG,15,0.39,0.43,AEP_IN
0.8,0.4,Landfill_NG,15,0.39,0.43,AEP_IN
0.8,0.4,Landfill_NG,15,0.39,0.43,AEP_IN
0.6,0.1,Hydro,50,0,0.5,CE_IL
0.6,0.1,Hydro,50,0,0.5,CE_IL
0.6,0.1,Hydro,50,0,0.5,CE_IL
0.6,0.1,Hydro,50,0,0.5,CE_IL
0.6,0.1,Hydro,50,0,0.5,CE_IL
3.6,0.5,Bio,20,0.99,0.43,ATSI_OH
3.6,0.5,Bio,20,0.99,0.43,ATSI_OH
0.8,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
1.6,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
1.6,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
1.6,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
0.8,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
0.8,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
0.8,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
0.8,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
0.8,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
1.6,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
1.6,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
1.6,0.6,Landfill_NG,15,0.39,0.43,AE_NJ
90,9,NG,22.525,0.495,0.98,AEP_IN
0.7,0.4,NGCT,26.3,0.59,0.98,PS_IL
0.7,0.4,NGCT,26.3,0.59,0.98,PS_IL
0.5,0.3,NGCT,26.3,0.59,0.98,PS_IL
0.5,0.3,NGCT,26.3,0.59,0.98,PS_IL
5,1.5,Landfill_NG,15,0.39,0.43,CE_IL
5,1.5,Landfill_NG,15,0.39,0.43,CE_IL
5,1.5,Landfill_NG,15,0.39,0.43,CE_IL
94.6,10,Other,20.1096,0.30925,0.7515,AEP_IN
2,2,Oil,40,0.82,0.98,PS_IL
2,2,Oil,40,0.82,0.98,PS_IL
2,2,Oil,40,0.82,0.98,PS_IL
3,0.6,Landfill_NG,15,0.39,0.43,PN_PA
3,0.6,Landfill_NG,15,0.39,0.43,PN_PA
122.4,65,NGCT,26.3,0.59,0.98,CE_IL
125.8,65,NGCT,26.3,0.59,0.98,CE_IL
125.8,65,NGCT,26.3,0.59,0.98,CE_IL
41.5,18,NGCT,26.3,0.59,0.98,CE_IL
86.5,50,NGCT,26.3,0.59,0.98,DEOK_OH
86.5,50,NGCT,26.3,0.59,0.98,DEOK_OH
86.5,50,NGCT,26.3,0.59,0.98,DEOK_OH
86.5,50,NGCT,26.3,0.59,0.98,DEOK_OH
86.5,50,NGCT,26.3,0.59,0.98,DEOK_OH
86.5,50,NGCT,26.3,0.59,0.98,DEOK_OH
86.5,50,NGCT,26.3,0.59,0.98,DEOK_OH
